voxel,x,y,z,voxel_idx,n_nonmissing,p_zero,n_outlier_removed,mad,var_I,error,mean_I,converged
7312365,109,133,128,718,20,0.0,2,0.46311897,0.1193278289871502,0.03396698687412289,0.3985134661800793,1.0
7312367,111,133,128,720,20,0.0,1,0.6781389,0.19005041022384703,0.18468312625577102,-0.2815373324663075,1.0
7312368,112,133,128,721,20,0.0,1,0.778457,0.18164493543548926,0.24537903216876464,-0.42159688021582015,1.0
7312369,113,133,128,722,20,0.0,0,0.84591126,0.18577410933515237,0.30012668839310214,-0.33822712284683876,1.0
7312370,114,133,128,723,20,0.0,0,0.8314549,0.5132973001564213,0.06894705570501007,-0.41398820281093807,1.0
7312371,115,133,128,724,20,0.0,1,0.96104383,0.4320308607243961,0.09226854436833141,-0.19241319001166302,1.0
7312372,116,133,128,725,20,0.0,1,0.8730514,0.633941735691071,0.10795822652754714,-0.0827883858369337,1.0
7367467,107,123,129,727,20,0.0,2,0.55379605,0.0946653562542547,0.15879476015711785,0.7989672124391399,1.0
7367470,110,123,129,730,20,0.0,3,0.46808508,0.19141345126249656,0.006182176105332331,0.34318903474299217,1.0
7367471,111,123,129,731,20,0.0,1,0.57378656,0.2996817824139827,0.017173962971366603,-0.10295779677527844,1.0
7367472,112,123,129,732,20,0.0,2,0.6777625,0.42354144097406193,0.030059636454350402,-0.22537669745490316,1.0
7367473,113,123,129,733,20,0.0,0,0.7853753,0.5316314889867242,0.0822412432971388,-0.14740262925307404,1.0
7367474,114,123,129,734,20,0.0,0,0.9883882,0.469035290835835,0.293138517552592,-0.15784969915896777,1.0
7367475,115,123,129,735,20,0.0,0,1.0500536,0.5271388193584305,0.13280837716218324,-0.07950525450425294,1.0
7367476,116,123,129,736,20,0.0,0,0.9781597,0.45050575712911733,0.21094973131808525,0.045336052654849676,1.0
7367477,117,123,129,737,20,0.0,1,0.74923885,0.4234361754202751,0.22961276742831407,0.274564244829207,1.0
7367691,107,124,129,738,20,0.0,3,0.46558708,0.05460416980815997,0.04753298426731456,0.8339010278456102,1.0
7367694,110,124,129,741,20,0.0,2,0.5788041,0.15006698582925138,0.0729603709904525,0.3400136530387929,1.0
7367695,111,124,129,742,20,0.0,3,0.5357972,0.13698083920315393,0.07399693273730197,0.0902183601932231,1.0
7367696,112,124,129,743,20,0.0,1,0.83768076,0.2808592022818588,0.06887132456941165,-0.2515078432032741,1.0
7367697,113,124,129,744,20,0.0,1,0.57383925,0.26630754197347994,0.05314808844361747,-0.2742032369191945,1.0
7367698,114,124,129,745,20,0.0,0,0.96704507,0.4307034367971213,0.109316546801885,-0.12396400793935347,1.0
7367699,115,124,129,746,20,0.0,0,1.10937,0.47333056197629303,0.10502701071833068,-0.10536498203906276,1.0
7367700,116,124,129,747,20,0.0,0,1.1700101,0.4179007524473081,0.23381463403817512,0.020363692194113808,1.0
7367701,117,124,129,748,20,0.0,0,0.94732654,0.22256872570564964,0.5897058592956685,0.06326649710536543,1.0
7367916,108,125,129,750,20,0.0,0,0.6469378,0.31360755826330605,0.09890668163110561,0.4924696981906967,1.0
7367917,109,125,129,751,20,0.0,1,0.542284,0.370084533597686,0.03764176321445483,0.3258828026219544,1.0
7367918,110,125,129,752,20,0.0,1,0.666198,0.22177245318815209,0.19956558601116578,0.17703637425396201,1.0
7367919,111,125,129,753,20,0.0,0,0.947225,0.42699601312282903,0.22832171996546924,-0.011611595393715745,1.0
